Код;Подстанция;Присоединение;Устройство РЗА;2015 дата;Тип терминала;2015;2016;2017;2016 дата;2018;2021;2019;2020;Посл_пров;Дата_посл_пров;ЦСРЗАИ;Ввод в эксплуатацию;Количество присоединений;Количество релейных защит;Примечание;Норма времени на Н;Норма времени на  В;Норма времени на К;Норма времени на О;Микроэлектроника;Оформлена документация;Включено в график отключений;Стоимость реконструкции;Год реконструкции;Микропроцессорная;Мастер код;2021 дата;Норма времени на К1;Сортировка ЦДС;Выполнено;Это не РЗА?;Тип присоединения;Реконструкция по ОКС;2017 дата;2022;2023;2024;2025;2018 дата;2026;2027;2028;2029;2030;Количество электроавтоматики;Количество противоаварийной автоматики;2019 дата;Назначение устройства РЗА;Производитель;Тип объекта;Тип устройства;2020 дата;2022 дата
2538;ТП-373 "Белыновичи" РРЭС;РУ-10кВ;РЗА;;БРЗА;;;;;;;;в;в;2020;0;1988;1;1;;40;28,80;13,30;2,60;1;0;0;;2017;0;11;;;;0;0;6;0;;;;к;;;;;в;;;;;;1;7;ТП;МЭ;9;
2539;ТП-1212 "Железняки" РРЭС;РУ-10кВ;РЗА;;БРЗА;в;;;;;о;в;о;;;0;2001;1;1;;40;28,80;13,30;2,60;1;0;0;;2020;0;11;6;40,00;;0;0;6;0;;о;к;о;о;;о;в;о;о;о;;;2;1;7;ТП;МЭ;5;7
2540;ТП-681 "Автушково" РРЭС;РУ-10кВ;РЗА;;РТВ;;;;;в;к;;;к;10.2021;0;1981;1;1;;40;28,80;13,30;2,60;0;0;0;;2017;0;11;10;;;0;0;6;0;;;;;в;4;;;;к;;;;;1;1;ТП;ЭМ;;
2541;ТП-577 "Михалкова"РРЭС;РУ-10кВ;РЗА;;РТВ;;к;;11;в;;;;к;03.2022;0;1986;1;1;;40;28,80;13,30;2,60;0;0;0;;2020;0;11;;;;0;0;6;0;;к;;;;4;в;;;;к;;;;1;1;ТП;ЭМ;;3
2542;ТП-572 «Задубровье» РРЭС;РУ-10кВ;РЗА;;РТВ;;;;;в;;;;в;03.2018;0;1981;1;1;;40;28,80;13,30;2,60;0;0;0;;2019;0;11;;;;0;0;6;0;;к;;;;12;в;;;;;;;;1;1;ТП;ЭМ;;11
2543;ТП-652 "Бабиничи" РРЭС;ВВ-10кВ ВЛ-863 на ТП-370;РЗА;;МР-301;;к;к;11;;;;в;н;02.2022;0;2022;1;1;;40;28,80;13,30;2,60;0;0;0;;2020;0;11;;;;0;0;6;0;2;н;к1;;;;к;;;;в;;;;1;4;ТП;МП;9;2
2550;ТП-642 "Тарасенки" РРЭС;РУ-10кВ;РЗА;;РТВ;к;;к;;;;к;;к;06.2019;0;1984;1;1;;14;7,60;2,20;0,90;0;0;0;;2024;0;11;;14,00;;0;0;6;0;6;;в;;;;;к;;;;;;6;1;1;ТП;ЭМ;;
2552;35кВ Аэропорт;ВВ-10кВ №833;РЗА;;МР-300;;;;;;;к;;в;04.2022;0;2006;1;3;;40;30,90;14,90;3,10;0;0;0;;2022;1;8;;30,90;;0;0;6;0;;в;;;;10;к;;;;в;;;9;1;4;ПС 35;МП;;4
2555;110кВ Билево;ВВ-10кВ №80;РЗА;;МР-700;к1;;;;н;;;к1;к;04.2022;0;2013;1;2;;40;30,90;13,30;2,60;0;0;0;;2037;1;7;;27,70;;0;0;6;0;;к;;;;;в;;;;к;;;;1;4;ПС 110;МП;12;7
2564;ТП-540 Веляшковичи ЛРЭС;РУ-10кВ;РЗА;;МР-500;к;;;;;;в;;в;05.2019;0;2004;1;1;;40;28,80;13,30;2,60;0;0;0;;2021;1;11;;40,00;;0;0;6;0;;;к;;;;;в;;;;;;5;1;4;ТП;МП;;
2565;РП-1 "Городок" ГРЭС;РУ-10кВ;РЗА;;МР-700-4;;;в;;;к;;;к;03.2021;0;2014;4;2;;40;28,80;13,30;2,60;0;0;0;;;1;11;3;;;0;0;6;0;12;;;;в;;;;;к;;;;;1;4;РП;МП;;
2566;ТП-682 "Тулово" ВСРЭС;РУ-10кВ;РЗА;;РТВ;к;;;;;;к;;к;07.2019;0;1982;1;1;;40;28,80;13,30;2,60;0;0;0;;2024;0;11;;40,00;;0;0;6;0;;;в;;;;;к;;;;;;7;1;1;ТП;ЭМ;;
2567;ТП-656 "Ольгово" ВСРЭС;РУ-10кВ;РЗА;;РТВ;в;;;;;;к;;к;06.2019;0;1975;1;1;;14;7,60;2,20;0,90;0;0;0;;2023;0;11;;14,00;;0;0;6;0;;;в;;;;;к;;;;;;6;1;1;ТП;ЭМ;;
2568;ТП-333 "Калиново" ВСРЭС;РУ-10кВ;РЗА;;МР-301-2;н;в;;9;;;;к;к;2020;0;2015;2;1;;40;28,80;13,30;2,60;0;0;0;;;1;11;;;;0;0;6;0;;;;в;;;;;к;;;;;;1;4;ТП;МП;3;
